                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3747,                 0.6326,                0.99221,                0.89612,                0.82692,                0.89405,                0.56685,                 1.3315,                0.58781,                0.99317,               0.006535,               0.006535,               0.006535
                     37,                 1.3714,                0.62962,                0.99111,                0.89873,                0.82353,                0.89425,                0.56839,                 1.3295,                 0.5848,                0.99348,               0.006436,               0.006436,               0.006436
                     38,                 1.3725,                0.62839,                0.99199,                0.89526,                0.82712,                0.89381,                0.56781,                 1.3295,                0.58373,                0.99255,               0.006337,               0.006337,               0.006337
                     39,                 1.3687,                0.62723,                0.99038,                0.89789,                0.82441,                0.89571,                 0.5687,                 1.3301,                0.58362,                0.99158,               0.006238,               0.006238,               0.006238
                     40,                 1.3653,                0.62606,                0.98926,                0.89846,                0.82502,                 0.8964,                0.56971,                 1.3252,                0.58477,                0.98938,               0.006139,               0.006139,               0.006139
                     41,                 1.3699,                 0.6262,                0.98961,                0.89712,                0.82792,                 0.8968,                0.57088,                 1.3261,                 0.5819,                0.99001,                0.00604,                0.00604,                0.00604
                     42,                 1.3693,                0.62434,                0.98997,                0.89895,                0.82674,                0.89711,                0.57089,                 1.3237,                0.58362,                0.98925,               0.005941,               0.005941,               0.005941
                     43,                 1.3628,                0.62219,                 0.9869,                0.89861,                0.82681,                 0.8981,                0.57153,                 1.3222,                0.57961,                0.98834,               0.005842,               0.005842,               0.005842
                     44,                 1.3633,                0.62065,                0.98639,                0.89904,                 0.8283,                0.89885,                0.57264,                  1.322,                0.57857,                0.98827,               0.005743,               0.005743,               0.005743
                     45,                 1.3584,                0.61885,                0.98791,                0.90132,                0.82908,                0.89926,                0.57272,                  1.324,                0.57676,                0.98959,               0.005644,               0.005644,               0.005644
                     46,                 1.3609,                0.61816,                0.98581,                0.89939,                0.82881,                0.90004,                0.57327,                 1.3208,                0.57605,                0.98774,               0.005545,               0.005545,               0.005545
                     47,                 1.3572,                0.61589,                0.98645,                0.90186,                0.82876,                0.90022,                0.57408,                 1.3205,                0.57506,                0.98828,               0.005446,               0.005446,               0.005446
                     48,                 1.3642,                0.61947,                0.98393,                0.90254,                0.82874,                0.90027,                0.57437,                 1.3166,                0.57461,                0.98619,               0.005347,               0.005347,               0.005347
